reading	hanri	priority	corrected	english
보2좌2	報紙	1		newspaper
보4	婆	1		old woman; grandmother
보5되2	坡底	1		downtown
보5레4	玻璃	1		glass
보5레붸1	玻璃杯	1		glass cup
봏1	薄	1		thin
봘4	盤	1		plate; tray
봫1	跋	1		divine by moon blocks
봫붸1	跋杯	1		cast divination blocks
뵣	八	1		eight
뵣1밯	八百	1		eight hundred
뵣1잡1	八十	1		eighty
분1	分	1		divide; minute; cent
분2	本	1		root; book; classifier
붸1	杯	1		cup
붸1	飛	1		fly
붸4	陪	2		accompany
붸5기1	飛機	1		aeroplane
뷔4	肥	1		fat; fertile
븡5	飯	1		rice; meal
비1새	比賽	1		competition; match
비2	比	1		compare
빈덩1	屏東	1		Pingtung
빌1	邊	1		side; edge
빟	鱉	1		softshell turtle
ᄇᅷ1	包	1		wrap; bun; bag
빡1	目	1		eye
빡새2	目滓	1		tears
빡쥬1	目睭	1		eye
빤4	閩	3		Min; Fujian
빤5	萬	2		ten thousand
빤5	慢	1		slow
빤꾸2	閩語	1		Min language
빤람4	閩南	1		Minnan; Southern Min
빤람꾸2	閩南語	1		Minnan language; Southern Min
빤졘5궤2	曼煎粿	1		apam balik
빤커1	萬箍	1		ten thousand dollars
빵1갛	艋舺	1		Monga; Bangka
빵5	夢	1		dream
빻	肉	1		meat
빻1장	肉粽	1		meat rice dumpling
빻1초	肉脞	1		minced meat
빻1초2미5	肉脞麵	1		minced meat noodles
빻1테2	肉體	1		body; flesh
뻑뎩1	目的	1		purpose; motive
뻥4	茫	1		hazy; confused
뻬2	馬	1		horse
뻬4	迷	1		lost; fascinated
뻬5	妹	1		younger sister
뻬랑4	迷人	1		charming; fascinating
뼇	欲	1		want; desire; about to
뼨2	免	1		do not need; exempt
뼹4	明	1		bright; clear
뼹뼹4	明明	1		clearly; obviously
뽀얄2	뽀影	1		not real; not legitimate
뽀ᄋᆤ2긴2	뽀要緊	1		not important; not urgent
뽀찹	뽀插	1		do not insert; not inserted
뾔1표	買票	1		buy a ticket
뾔2	買	1		buy
뾔5	賣	2		sell
뾔ᄋᆤ2긴2	뾔要緊	1		won't be important; won't be urgent
뾔표	賣票	2		sell tickets
뾧1표	買票	1		buy a ticket
뾧2	買	1		buy
뾰2	秒	1		second
뿌2	母	1		mother
뿐4	文	1		writing; literature
뿐띠5	文字	1		writing; characters
뿐레2	文禮	1		Boon Lay
쀄2	尾	1		tail; end
쀄5	未	1		not yet
삐1걱	美國	1		United States
삐1걱1랑4	美國人	1		American person
삐1세2개	美世界	1		Beauty World
삐1훈1궤2	米粉粿	1		bee hoon kueh
삐1훈1틍1	米粉湯	1		rice vermicelli soup
삐1훈2	米粉	1		bee hoon; rice vermicelli
삐2	米	1		uncooked rice
삐2	美	2		beautiful; America
삐래4	未來	1		future
삔4	民	2		people
삔5	面	1		face; side; noodles
삗1	蜜	1		honey
산2버5	散步	1		take a walk
살1	三	1		three
살1	衫	2		shirt; clothes
살5밯	三百	1		three hundred
살5잡1	三十	1		thirty
살5훈1	三分	1		three minutes; three cents
새1	西	1		west
새1챠1	駛車	1		drive
새2	屎	2		feces
새2	駛	3		drive
샬1	聲	1		sound; voice
샬1밓1	샬ˆ밓ˆ	1		
샬5임1	聲音	1		sound; voice
샴1샴1싷	閃閃爍	1		sparkling; flickering
샴1샴1싷1싷	閃閃爍爍	1		sparkling; flickering
샴1싷	閃爍	1		sparkle; flicker
서1	酥	2		crisp; flaky
서1이2	所以	1		therefore; so
서1잇2	所以	1		therefore; so
서2	所	1		place; that which
섬5뻥5	森妄	1		arrogant; conceited
성	喪	2		lose; mourning
성2	爽	1		comfortable; refreshed
성2달2	喪膽	1		terrified
세	世	1		world; generation
세1	西	2		west
세2간1	世間	1		world; society
세2개	世界	2		world
세2수5	世事	1		worldly affairs
세5율4	西洋	1		Western; the West
셀1	生	1		life; raw; give birth
셀5띧1	生日	1		birthday
셀5시2	生死	1		life and death
셜5	想	2		think; want
셩	相	5		mutual; appearance
셩1	傷	2		hurt; wound
셩1	相	4		mutual; appearance
셩2필	相片	1		photograph
셩4	常	3		often; ordinary
셩5	上	1		up; above; on
셩5신	相信	1		believe
셩5훈4	傷痕	1		scar; wound mark
셩안1	翔安	1		Xiang'an
셱	色	1		colour
셱1	熟	1		ripe; familiar; cooked
셱1띧1	昔日	1		former days
셱새5	熟似	1		know; be acquainted with
솅1	先	1		first
솅5리2	生理	1		business; livelihood
솅5왛1	生活	1		life; live
솅강2	盛港	1		Sengkang
솅겅1	成功	1		success; succeed
솬1뎩1	選擇	1		choose; selection
솬1쿠1	選區	1		constituency
솬1표	選票	1		ballot; vote
솬2	選	1		choose
솰	傘	2		umbrella
솰	線	1		line; thread
솰1	山	1		mountain
솰2ᄐᅷ4	汕頭	1		Shantou (Swatow)
솰5구1	山龜	1		bumpkin
솰5뎽2	山頂	1		mountaintop
쇠	細	1		small; fine
쇠2샬1	細聲	1		soft voice; quietly
쇼1	相	2		mutual; appearance
쇼1	燒	1		hot; burn
쇼1디5	小弟	1		younger brother
쇼1뭬5	小妹	1		younger sister
